Date,Open,High,Low,Close,Adj Close,Volume
2017-02-21,119.680000,120.610001,119.599998,120.110001,100.632317,8703800
2017-02-22,120.800003,120.820000,119.589996,120.309998,100.799934,8101500
2017-02-23,120.570000,120.739998,120.330002,120.669998,101.101547,5330800
2017-02-24,121.349998,122.139999,121.260002,122.010002,102.224251,11336000
2017-02-27,121.809998,121.900002,121.230003,121.290001,101.621002,11039800
2017-02-28,121.500000,122.080002,121.320000,121.739998,101.998024,8410500
2017-03-01,119.440002,119.550003,118.949997,119.470001,100.288910,10717100
2017-03-02,119.010002,119.209999,118.620003,119.040001,99.927940,8201200
2017-03-03,119.230003,119.349998,118.550003,119.349998,100.188171,9515200
2017-03-06,119.120003,119.120003,118.519997,118.779999,99.709709,4489200
2017-03-07,118.480003,118.680000,118.250000,118.419998,99.407448,7080100
2017-03-08,117.309998,117.949997,117.230003,117.779999,98.870239,11336300
2017-03-09,117.339996,117.480003,116.769997,116.839996,98.081154,10575400
2017-03-10,117.139999,117.320000,116.680000,117.250000,98.425323,9218500
2017-03-13,116.830002,117.089996,116.489998,116.510002,97.804131,6993100
2017-03-14,116.769997,117.349998,116.709999,117.070000,98.274223,9869200
2017-03-15,117.559998,118.830002,117.430000,118.500000,99.474648,14600500
2017-03-16,117.989998,118.150002,117.629997,117.900002,98.970993,8018200
2017-03-17,118.110001,118.750000,118.029999,118.639999,99.592133,7266800
2017-03-20,118.550003,119.230003,118.500000,119.150002,100.020287,5497800
2017-03-21,119.050003,120.300003,119.019997,120.139999,100.851364,12540700
2017-03-22,120.720001,121.169998,120.430000,120.620003,101.254280,11661400
2017-03-23,120.830002,121.019997,120.059998,120.449997,101.111580,6746500
2017-03-24,120.529999,121.099998,120.400002,120.879997,101.472504,5819600
2017-03-27,121.830002,121.970001,121.190002,121.430000,101.934219,6878500
2017-03-28,121.790001,121.820000,120.489998,120.620003,101.254280,6811200
2017-03-29,120.940002,121.379997,120.879997,121.339996,101.858650,6291000
2017-03-30,121.070000,121.089996,120.320000,120.360001,101.036041,7042400
2017-03-31,120.279999,120.809998,120.209999,120.709999,101.329842,5144800
2017-04-03,120.449997,121.870003,120.400002,121.669998,102.351913,12996500
2017-04-04,121.370003,121.589996,120.949997,121.010002,101.796738,6976700
2017-04-05,120.559998,121.519997,120.360001,121.379997,102.107956,8555200
2017-04-06,121.239998,121.410004,120.519997,121.199997,101.956535,6497000
2017-04-07,121.839996,122.250000,120.690002,120.709999,101.544342,10270000
2017-04-10,121.139999,121.620003,121.000000,121.269997,102.015396,5314500
2017-04-11,121.800003,122.650002,121.720001,122.419998,102.982834,11297400
2017-04-12,122.510002,123.190002,122.290001,123.089996,103.546455,11532500
2017-04-13,123.449997,123.739998,122.910004,123.470001,103.866142,8396700
2017-04-17,123.459999,123.550003,122.860001,123.089996,103.546455,8015000
2017-04-18,123.860001,124.980003,123.550003,124.699997,104.900841,11529700
2017-04-19,124.099998,124.169998,123.699997,124.019997,104.328781,7344000
2017-04-20,123.519997,123.919998,123.139999,123.540001,103.924988,7932900
2017-04-21,123.820000,124.239998,123.489998,123.540001,103.924988,9798500
2017-04-24,122.550003,123.160004,122.459999,122.930000,103.411873,8066400
2017-04-25,122.209999,122.459999,121.379997,121.449997,102.166840,8122300
2017-04-26,121.519997,122.139999,121.430000,122.120003,102.730476,5766200
2017-04-27,121.750000,122.349998,121.580002,122.080002,102.696823,4978300
2017-04-28,121.599998,122.440002,121.550003,122.349998,102.923927,8166300
2017-05-01,121.690002,122.139999,120.709999,121.080002,102.068329,8795900
2017-05-02,120.970001,121.779999,120.940002,121.699997,102.590950,6727800
2017-05-03,122.220001,122.389999,121.550003,121.779999,102.658401,8932900
